"Country Name","Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Brazil","BRA","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","5.32386758183554","5.82731319338679","6.07294136199861","6.47448025144449","6.82490729612225","7.45768507826983","8.13593268357909","8.40394049970607","8.96804894405729","9.73727773642115","10.296360818541","10.9297987597573","11.4453226165386","12.1800582826457","12.5403364744966","11.6137812890232","11.5274331442368","12.1212054468991","12.4317158048793","13.0948318844715","13.3734340791142","13.6239842761301","13.7407280078179","13.4096969428803","13.9621555965105","13.8443759517133","13.9209891748643","14.1973292044563","14.0634266494785","14.8231685878199","14.0578598907324","14.4438308035242","14.997649672481","14.6193552177434","14.7212502057406","15.133242180679","15.1084163226064","14.3723365450595","15.5614951126932","14.6779702566335","15.3947708957256","14.4931091918762","13.1287299254895","","",
"Barbados","BRB","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00444113367683264","0.00449080768220538","0.00565388122510402","","",
"Bhutan","BTN","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","0.00635975546740228","0.0150438293751628","0.0269245074380517","0.0352193478162164","0.0443788700814387","0.0405174352251369","0.0484225862567314","0.0433218231418291","0.0364684310602475","0.0411231124204112","0.0442450061169325","0.0567867510635277","0.0566170082513014","0.0591555614365178","0.034615536088251","0.035480355143483","0.0338160044872016","0.0299566615004879","0.0290088358250437","0.0279059041875009","0.0275826378030787","0.0271536326519994","0.0272414818713647","0.00790678180710327","0.00766180472470814","0","0","0","0","0","0","0","0.00359743979412605","","",
"Central African Republic","CAF","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","12.0622959554344","11.4525434474147","10.8947139884535","10.1501300397881","10.4184603448018","10.0463599147939","10.7002281092167","10.1884711708129","9.8132609972187","10.2220142053883","10.0432860347237","10.6709400838995","11.4758929042638","13.060352475236","13.7050878587087","12.5819807017825","13.4598281136785","14.6990773037336","15.8768878740282","16.1711476668601","16.6724529153813","18.1543859380053","18.4310734805469","20.2903840434955","20.7079640539831","21.9981653898672","23.4105370426692","23.6551005459437","22.8844956931233","21.3551502891862","21.5375916042195","23.6079333703982","22.7446038328084","23.8177205706785","24.8021174186244","23.598681970745","23.2242049489152","21.646083561632","19.9046590480288","20.0147761946155","19.8132070650236","19.643157631647","20.0772209896581","18.5526481364375","19.7857401631663","20.4405010562147","21.0027362560054","21.0312079596605","21.8063434284431","22.3084349954301","21.7385889752587","22.4263618290579","23.1739747920348","24.3069556324708","23.8759002558106","",
"Central Europe and the Baltics","CEB","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","0.100326004137746","0.0915255731109763","0.108225471289599","0.0913165092706066","0.0958541279454513","0.104203426411711","0.103746331933831","0.104603378660801","0.105218308755144","0.0811378709130772","0.158010125203905","0.419196671125141","0.51329005994057","0.522719887234764","0.735119172938666","0.858126586429657","1.02334438427519","1.1109431433656","1.0571005934258","1.26093447079298","1.52309280007758","1.86217361255445","1.93142787674064","2.27524376860657","2.61498282474236","3.11377438541512","3.45345544329324","4.04152868331407","4.68667146320069","4.84099543527031","6.48252397111983","7.04388479467133","7.02702916720494","7.20823726139458","7.51201199182845","7.77147764353271","7.97569373703855","8.27160380342891","8.963805879804","9.10760708267535","9.5884943649292","10.0384466785858","10.8432491974477","10.4601162268144","10.8074334800692","10.7115802186583","10.367824218852","9.97026181544514","10.7350450717628","11.5532978048799","10.5911749854659","10.5450512442059","11.0571791905636","11.6349045027437","","",
"Switzerland","CHE","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","23.6818236045536","23.5017172076336","20.8184273661436","18.1946033085247","18.0032024680992","18.6640149097196","20.4402516804011","20.9524834476892","19.134612313875","17.304523571712","19.7342896104406","16.314413028671","18.1815046495137","21.3865557972864","23.9636781074446","28.5254634457944","24.1874479208997","28.711305284744","26.2021012005425","30.2425985918751","32.7546495935349","35.9026985472805","37.1208329975636","35.1112864560456","35.521615727053","39.1647994675222","37.8802630049929","40.0658677080119","39.8822646253424","38.4456007620594","36.1818749104379","35.7602422111124","36.3404927460175","38.2767383434935","40.1698931360923","39.9719867124458","37.2656931029296","38.709941459172","38.5341241577712","40.706978959931","40.8095657348702","40.2775011862888","39.7257412957862","39.7366727228075","38.746694561263","34.55292981212","37.3649372721149","40.8858646862453","39.504662358054","39.201526660075","39.3340583238834","39.7728308039505","40.4348789275906","39.4347013456009","43.5403460065733","",
"Channel Islands","CHI","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
